"timestamp","game","players","kills","headshots","servers","act_slots","max_slots"
1704536120,tf,87291,1476325,89873,5,4,125
1704536118,tf,87291,1476325,89873,5,4,125
1704536049,tf,87291,1476325,89873,5,5,125
1704535825,tf,87291,1476325,89873,5,3,125
1704535824,tf,87291,1476325,89873,5,4,125
1704535819,tf,87291,1476325,89873,5,4,125
1704535818,tf,87291,1476325,89873,5,4,125
1704535749,tf,87291,1476325,89873,5,5,125
1704535524,tf,87291,1476325,89873,5,4,125
1704535518,tf,87291,1476325,89873,5,4,125
1704535519,tf,87291,1476325,89873,5,4,125
1704535517,tf,87291,1476325,89873,5,4,125
1704535448,tf,87291,1476325,89873,5,5,125
1704535223,tf,87291,1476325,89873,5,2,125
1704535147,tf,87291,1476325,89873,5,3,125
1704534939,tf,87291,1476325,89873,5,4,125
1704534922,tf,87291,1476325,89873,5,3,125
1704534916,tf,87291,1476325,89873,5,3,125
1704534916,tf,87291,1476325,89873,5,5,125
1704534847,tf,87291,1476325,89873,5,3,125
1704534622,tf,87291,1476325,89873,5,3,125
1704534618,tf,87291,1476325,89873,5,4,125
1704534615,tf,87291,1476325,89873,5,4,125
1704534615,tf,87291,1476325,89873,5,5,125
1704534546,tf,87291,1476325,89873,5,3,125
1704534321,tf,87291,1476325,89873,5,3,125
1704534315,tf,87291,1476325,89873,5,5,125
1704534317,tf,87291,1476325,89873,5,5,125
1704534313,tf,87291,1476325,89873,5,5,125
1704534245,tf,87291,1476325,89873,5,3,125
1704534020,tf,87291,1476325,89873,5,3,125
1704534014,tf,87291,1476325,89873,5,4,125
1704534015,tf,87291,1476325,89873,5,4,125
1704534012,tf,87291,1476325,89873,5,4,125
1704533945,tf,87291,1476325,89873,5,5,125
1704533720,tf,87291,1476325,89873,5,3,125
1704533713,tf,87291,1476325,89873,5,3,125
1704533712,tf,87291,1476325,89873,5,3,125
1704533713,tf,87291,1476325,89873,5,3,125
1704533644,tf,87291,1476325,89873,5,5,125
1704533419,tf,87291,1476325,89873,5,2,125
1704533343,tf,87291,1476325,89873,5,3,125
1704533118,tf,87291,1476325,89873,5,5,125
1704533115,tf,87291,1476325,89873,5,4,125
1704533115,tf,87291,1476325,89873,5,4,125
1704533112,tf,87291,1476325,89873,5,4,125
1704533043,tf,87291,1476325,89873,5,5,125
1704532818,tf,87291,1476325,89873,5,4,125
1704532815,tf,87291,1476325,89873,5,4,125
1704532812,tf,87291,1476325,89873,5,4,125
1704532812,tf,87291,1476325,89873,5,5,125
1704532742,tf,87291,1476325,89873,5,5,125
1704532517,tf,87291,1476325,89873,5,4,125
1704532514,tf,87291,1476325,89873,5,4,125
1704532512,tf,87291,1476325,89873,5,4,125
1704532512,tf,87291,1476325,89873,5,5,125
1704532442,tf,87291,1476325,89873,5,4,125
1704532216,tf,87291,1476325,89873,5,4,125
1704532213,tf,87291,1476325,89873,5,5,125
1704532211,tf,87291,1476325,89873,5,5,125
1704532211,tf,87291,1476325,89873,5,5,125
1704532141,tf,87291,1476325,89873,5,5,125
1704531916,tf,87291,1476325,89873,5,5,125
1704531912,tf,87291,1476325,89873,5,5,125
